id,field_code,field_description,field_type,field_rule,dict_field_id
434,CB_VIABILITY_CELLS,Type of cells tested for viability,A4,TNCCD34CD45,278
435,CB_VIABILITY_DATE,Date viability was tested,D8,Date format YYYYMMDD,279
436,CB_VIABILITY_METHOD,Method used to calculate the viability,A2,7A = 7AADPI = Propidium IodideTB = Trypan BlueOT = Other,280
437,VIROL_DATE,Date virology,D8,Date format YYYYMMDD,281
438,VIROL_OK,Result virology,A1,P = Positive N = NegativeQ = Questionable / Uncertain,282
439,CB_VOL,CBU collected volume before processing (without additives),R5,In millilitres; format: ###.#; valid range 10.0 to 999.9 ml; Either CB_VOL or CB_VOL_FRZN is required,283
440,CB_VOL_FRZN,Total CBU volume frozen (post processing and pre-cryopreservation),R5,In millilitres; format: ###.#; valid range 10.0 to 999.9 ml; Either CB_VOL or CB_VOL_FRZN is required,284
441,D_WEIGHT,Donor weight,N3,In kilos,285
442,P_WEIGHT,Patient weight,N3,In kilos,285
443,CB_WNV,CBU West Nile Virus (WNV) status,A1,P = Positive N = Negative,201
444,WOR_REQ_TYPE,Workup request type - preferred,A4,PBSC = Request a PBSC collectionSCD = Request the workup of a stem cell donor CBU = Request a cord blood unitDLI = Donor Leukocyte Infusion,286
445,ZIP,ZIP Code,A10,Free form; see note 1 in the appendix,287
