user,id,label
Patient,34,HLA-B (2nd antigen)
Patient,43,HLA-C (1st antigen)
Patient,44,HLA-C (2nd antigen)
Patient,53,Cytomegalovirus (CMV)
Patient,71,HLA A (1st allele)
Patient,72,HLA A (2nd allele)
Patient,74,HLA B (1st allele)
Patient,75,HLA B (2nd allele)
Patient,76,HLAC (1st allele)
Patient,77,HLAC (2nd allele)
Patient,78,HLA DPA1 (1st allele)
Patient,79,HLA DPA1 (2nd allele)
Patient,80,HLA DPB1 (1st allele)
Patient,81,HLA DPB1 (2nd allele)
Patient,82,HLA-DQB1 (1st antigen)
Patient,83,HLA-DQB1 (2nd antigen)
Patient,84,HLA DQA1 (1st allele)
Patient,85,HLA DQA1 (2nd allele)
Patient,86,HLA-DQB1 (1st allele)
Patient,87,HLA-DQB1 (2nd allele)
Patient,88,HLA-DRB1 (1st antigen)
Patient,89,HLA-DRB1 (2nd antigen)
Patient,90,HLA-DRB1 (1st allele)
Patient,91,HLA-DRB1 (2nd allele)
Patient,92,HLA-DRB3 (1st allele)
Patient,93,HLA-DRB3 (2nd allele)
Patient,94,HLA-DRB4 (1st allele)
Patient,95,HLA-DRB4 (2nd allele)
Patient,96,HLA-DRB5 (1st allele)
Patient,97,HLA-DRB5 (2nd allele)
Patient,98,Epstein Barr Virus (EBV) Status
Requests,99,Email
Requests,135,Killer immunoglobulin- like receptor (KIR) GL string
Requests,136,KIR gene 2DL1
Requests,137,KIR gene 2DL2
Requests,138,KIR gene 2DL3
Requests,139,KIR gene 2DL4
Requests,140,KIR gene 2DL5A
Requests,141,KIR gene 2DL5B
Requests,142,CBU KIR gene 2DP1
Requests,143,CBU KIR gene 2DS1
Requests,144,CBU KIR gene 2DS2
Requests,145,CBU KIR gene 2DS3
Requests,146,CBU KIR gene 2DS4
Requests,147,CBU KIR gene 2DS5
Requests,148,CBU KIR gene 3DL1
Requests,149,CBU KIR gene 3DL2
Requests,150,CBU KIR gene 3DL3
Requests,151,CBU KIR gene 3DP1
Requests,152,CBU KIR gene 3DS1
Requests,224,Donor pregnancies
Requests,225,Donor blood transfusions
